Mozilla/5.0 (Linux; Android 13; 7; Linux; Android 13;N3712Z) AppleWebKit/537.36 (KHTML, like Gecko)99.0.15046.148 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 8; Linux; Android 13;A5646U) AppleWebKit/537.36 (KHTML, like Gecko)80.0.37192.125 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 10; Linux; Android 13;U189L) AppleWebKit/537.36 (KHTML, like Gecko)81.0.36730.40 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 10; Linux; Android 13;E4707V) AppleWebKit/537.36 (KHTML, like Gecko)102.0.26034.60 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 7; Linux; Android 13;C8687J) AppleWebKit/537.36 (KHTML, like Gecko)96.0.37925.127 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 6; Linux; Android 13;A8544N) AppleWebKit/537.36 (KHTML, like Gecko)100.0.34727.40 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 13; Linux; Android 13;K9657X) AppleWebKit/537.36 (KHTML, like Gecko)98.0.66982.105 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 13; Linux; Android 13;Z9644H) AppleWebKit/537.36 (KHTML, like Gecko)88.0.52148.84 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 8; Linux; Android 13;W8148H) AppleWebKit/537.36 (KHTML, like Gecko)80.0.46055.98 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 11; Linux; Android 13;W9389X) AppleWebKit/537.36 (KHTML, like Gecko)102.0.57259.145 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 12; Linux; Android 13;D2614L) AppleWebKit/537.36 (KHTML, like Gecko)82.0.67177.128 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


 Mozilla/5.0 (Linux; Android 13; 8; Linux; Android 13;P6416V) AppleWebKit/537.36 (KHTML, like Gecko)87.0.7017.87 Chrome/113.0.5672.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/417.0.0.33.65;


